DATE,IPG2211A2N
1939-01-01,3.3298
1939-02-01,3.3552
1939-03-01,3.4315
1939-04-01,3.4569
1939-05-01,3.4569
1939-06-01,3.5077
1939-07-01,3.5077
1939-08-01,3.5586
1939-09-01,3.6602
1939-10-01,3.6602
1939-11-01,3.6856
1939-12-01,3.6856
1940-01-01,3.7111
1940-02-01,3.7619
1940-03-01,3.7873
1940-04-01,3.7873
1940-05-01,3.8127
1940-06-01,3.8636
1940-07-01,3.8636
1940-08-01,3.9144
1940-09-01,3.9652
1940-10-01,3.9907
1940-11-01,4.0923
1940-12-01,4.0923
1941-01-01,4.1178
1941-02-01,4.1686
1941-03-01,4.2194
1941-04-01,4.2703
1941-05-01,4.2957
1941-06-01,4.3719
1941-07-01,4.4228
1941-08-01,4.4736
1941-09-01,4.4990
1941-10-01,4.5244
1941-11-01,4.5753
1941-12-01,4.6770
1942-01-01,4.7278
1942-02-01,4.7786
1942-03-01,4.8041
1942-04-01,4.8041
1942-05-01,4.8041
1942-06-01,4.8295
1942-07-01,4.9820
1942-08-01,5.0074
1942-09-01,5.0328
1942-10-01,5.0328
1942-11-01,5.1091
1942-12-01,5.1853
1943-01-01,5.1345
1943-02-01,5.2107
1943-03-01,5.2362
1943-04-01,5.3124
1943-05-01,5.3378
1943-06-01,5.4395
1943-07-01,5.4903
1943-08-01,5.5158
1943-09-01,5.6174
1943-10-01,5.6174
1943-11-01,5.6937
1943-12-01,5.6937
1944-01-01,5.6429
1944-02-01,5.7191
1944-03-01,5.8208
1944-04-01,5.8462
1944-05-01,5.8462
1944-06-01,5.8462
1944-07-01,5.7954
1944-08-01,5.8208
1944-09-01,5.7954
1944-10-01,5.7445
1944-11-01,5.7954
1944-12-01,5.8208
1945-01-01,5.9225
1945-02-01,5.9225
1945-03-01,5.8970
1945-04-01,5.8970
1945-05-01,5.9479
1945-06-01,6.0241
1945-07-01,5.9987
1945-08-01,5.8970
1945-09-01,5.7954
1945-10-01,5.7445
1945-11-01,5.7954
1945-12-01,5.8462
1946-01-01,5.8462
1946-02-01,5.8462
1946-03-01,5.8462
1946-04-01,5.9479
1946-05-01,5.9987
1946-06-01,6.0241
1946-07-01,6.1512
1946-08-01,6.2529
1946-09-01,6.3291
1946-10-01,6.4054
1946-11-01,6.4308
1946-12-01,6.4562
1947-01-01,6.6342
1947-02-01,6.5071
1947-03-01,6.4562
1947-04-01,6.4562
1947-05-01,6.4308
1947-06-01,6.4308
1947-07-01,6.4308
1947-08-01,6.6087
1947-09-01,6.7358
1947-10-01,6.7613
1947-11-01,6.8375
1947-12-01,7.1680
1948-01-01,7.5238
1948-02-01,7.3459
1948-03-01,7.3713
1948-04-01,7.2188
1948-05-01,7.0663
1948-06-01,7.1171
1948-07-01,7.1680
1948-08-01,7.3459
1948-09-01,7.4730
1948-10-01,7.5492
1948-11-01,7.6509
1948-12-01,7.9559
1949-01-01,8.1338
1949-02-01,7.9559
1949-03-01,7.8542
1949-04-01,7.6763
1949-05-01,7.5238
1949-06-01,7.5746
1949-07-01,7.6763
1949-08-01,7.8542
1949-09-01,7.9305
1949-10-01,7.8797
1949-11-01,8.0830
1949-12-01,8.5405
1950-01-01,8.9472
1950-02-01,8.7439
1950-03-01,8.7947
1950-04-01,8.6930
1950-05-01,8.6676
1950-06-01,8.7439
1950-07-01,8.7693
1950-08-01,8.9726
1950-09-01,9.0997
1950-10-01,9.2522
1950-11-01,9.3793
1950-12-01,9.7098
1951-01-01,10.2690
1951-02-01,10.1165
1951-03-01,10.1165
1951-04-01,10.0911
1951-05-01,9.8877
1951-06-01,10.0148
1951-07-01,10.0656
1951-08-01,10.2944
1951-09-01,10.3961
1951-10-01,10.3198
1951-11-01,10.5232
1951-12-01,10.8282
1952-01-01,11.3620
1952-02-01,11.1078
1952-03-01,11.0315
1952-04-01,10.7519
1952-05-01,10.5486
1952-06-01,10.6248
1952-07-01,10.8028
